text,task,time,date
Call the client on May 26,Call the client on,,May 26
Submit the quarterly report by 2:15pm,Submit the quarterly report,2:15pm,
Submit the quarterly report by 7:45am,Submit the quarterly report,7:45am,
Check email updates around 3:00pm,Check email updates around,3:00pm,
Call the client on May 21,Call the client on,,May 21
Schedule a team meeting for May 23 at 3:15pm,Schedule a team meeting,3:15pm,May 23
Set up a one-on-one on July 3 at 1:15pm,Set up a one-on-one,1:15pm,July 3
I need to review my applications at 5:15pm,I need to review,5:15pm,
I need to review my applications at 11:00am,I need to review,11:00am,
Check email updates around 5:45pm,Check email updates around,5:45pm,
Set up a one-on-one on July 7 at 12:00pm,Set up a one-on-one,12:00pm,July 7
Submit the quarterly report by 8:30am,Submit the quarterly report,8:30am,
Meet with HR at 5:30pm,Meet with hr at,5:30pm,
Finish the budget review before 1:15pm,Finish the budget review,1:15pm,
Check email updates around 6:30am,Check email updates around,6:30am,
Check email updates around 9:00am,Check email updates around,9:00am,
Finish the budget review before 4:00pm,Finish the budget review,4:00pm,
Meet with HR at 2:30pm,Meet with hr at,2:30pm,
Send the invoice on July 9,Send the invoice on,,July 9
Schedule a team meeting for July 3 at 4:45pm,Schedule a team meeting,4:45pm,July 3
Send the invoice on May 28,Send the invoice on,,May 28
Finish the budget review before 8:45am,Finish the budget review,8:45am,
Schedule a team meeting for June 16 at 1:30pm,Schedule a team meeting,1:30pm,June 16
Prepare slides for the presentation on June 5,Prepare slides for the,,June 5
Finish the budget review before 8:45am,Finish the budget review,8:45am,
Prepare slides for the presentation on June 20,Prepare slides for the,,June 20
Prepare slides for the presentation on July 17,Prepare slides for the,,July 17
Set up a one-on-one on July 20 at 2:15pm,Set up a one-on-one,2:15pm,July 20
Schedule a team meeting for June 5 at 9:15pm,Schedule a team meeting,9:15pm,June 5
Schedule a team meeting for June 4 at 2:15pm,Schedule a team meeting,2:15pm,June 4
Schedule a team meeting for May 30 at 1:30pm,Schedule a team meeting,1:30pm,May 30
Submit the quarterly report by 9:00am,Submit the quarterly report,9:00am,
Send the invoice on July 14,Send the invoice on,,July 14
Send the invoice on June 21,Send the invoice on,,June 21
Set up a one-on-one on June 1 at 2:45pm,Set up a one-on-one,2:45pm,June 1
Meet with HR at 2:45pm,Meet with hr at,2:45pm,
Set up a one-on-one on June 23 at 10:00am,Set up a one-on-one,10:00am,June 23
Check email updates around 9:00pm,Check email updates around,9:00pm,
Prepare slides for the presentation on June 19,Prepare slides for the,,June 19
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
I need to review my applications at 6:15am,I need to review,6:15am,
Set up a one-on-one on June 13 at 9:30am,Set up a one-on-one,9:30am,June 13
Set up a one-on-one on June 25 at 2:15pm,Set up a one-on-one,2:15pm,June 25
Finish the budget review before 1:30pm,Finish the budget review,1:30pm,
Set up a one-on-one on June 1 at 4:30pm,Set up a one-on-one,4:30pm,June 1
Send the invoice on June 16,Send the invoice on,,June 16
Prepare slides for the presentation on June 7,Prepare slides for the,,June 7
Send the invoice on June 26,Send the invoice on,,June 26
Schedule a team meeting for July 11 at 9:30am,Schedule a team meeting,9:30am,July 11
Schedule a team meeting for June 2 at 7:45pm,Schedule a team meeting,7:45pm,June 2
Call the client on July 11,Call the client on,,July 11
I need to review my applications at 11:45am,I need to review,11:45am,
Call the client on June 9,Call the client on,,June 9
Finish the budget review before 7:45am,Finish the budget review,7:45am,
Call the client on July 12,Call the client on,,July 12
Finish the budget review before 9:00pm,Finish the budget review,9:00pm,
Prepare slides for the presentation on June 13,Prepare slides for the,,June 13
Meet with HR at 2:30pm,Meet with hr at,2:30pm,
Check email updates around 9:30am,Check email updates around,9:30am,
Set up a one-on-one on July 9 at 12:15pm,Set up a one-on-one,12:15pm,July 9
Finish the budget review before 5:30pm,Finish the budget review,5:30pm,
Meet with HR at 9:45pm,Meet with hr at,9:45pm,
Submit the quarterly report by 6:30pm,Submit the quarterly report,6:30pm,
Call the client on June 16,Call the client on,,June 16
Set up a one-on-one on May 26 at 6:00pm,Set up a one-on-one,6:00pm,May 26
Call the client on June 10,Call the client on,,June 10
Prepare slides for the presentation on June 28,Prepare slides for the,,June 28
Check email updates around 2:45pm,Check email updates around,2:45pm,
Prepare slides for the presentation on May 31,Prepare slides for the,,May 31
Call the client on July 6,Call the client on,,July 6
Schedule a team meeting for June 3 at 2:00pm,Schedule a team meeting,2:00pm,June 3
Call the client on May 27,Call the client on,,May 27
Submit the quarterly report by 9:00pm,Submit the quarterly report,9:00pm,
Check email updates around 8:00am,Check email updates around,8:00am,
Set up a one-on-one on July 1 at 10:00am,Set up a one-on-one,10:00am,July 1
Check email updates around 3:15pm,Check email updates around,3:15pm,
Finish the budget review before 8:15pm,Finish the budget review,8:15pm,
Meet with HR at 11:00am,Meet with hr at,11:00am,
Prepare slides for the presentation on June 19,Prepare slides for the,,June 19
Meet with HR at 2:45pm,Meet with hr at,2:45pm,
Meet with HR at 11:45am,Meet with hr at,11:45am,
Set up a one-on-one on July 18 at 7:30pm,Set up a one-on-one,7:30pm,July 18
Prepare slides for the presentation on July 11,Prepare slides for the,,July 11
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
Check email updates around 2:15pm,Check email updates around,2:15pm,
I need to review my applications at 6:15am,I need to review,6:15am,
Finish the budget review before 9:00pm,Finish the budget review,9:00pm,
Send the invoice on May 21,Send the invoice on,,May 21
Check email updates around 3:15pm,Check email updates around,3:15pm,
I need to review my applications at 5:15pm,I need to review,5:15pm,
Meet with HR at 7:45pm,Meet with hr at,7:45pm,
Call the client on June 4,Call the client on,,June 4
Finish the budget review before 8:45am,Finish the budget review,8:45am,
Schedule a team meeting for July 1 at 2:30pm,Schedule a team meeting,2:30pm,July 1
Meet with HR at 2:45pm,Meet with hr at,2:45pm,
Submit the quarterly report by 11:15am,Submit the quarterly report,11:15am,
Submit the quarterly report by 8:45pm,Submit the quarterly report,8:45pm,
Set up a one-on-one on June 10 at 9:15pm,Set up a one-on-one,9:15pm,June 10
I need to review my applications at 10:00am,I need to review,10:00am,
I need to review my applications at 11:00am,I need to review,11:00am,
Finish the budget review before 10:45am,Finish the budget review,10:45am,
I need to review my applications at 1:00pm,I need to review,1:00pm,
I need to review my applications at 9:15pm,I need to review,9:15pm,
Check email updates around 3:45pm,Check email updates around,3:45pm,
Send the invoice on May 26,Send the invoice on,,May 26
Call the client on July 9,Call the client on,,July 9
Check email updates around 8:45am,Check email updates around,8:45am,
Schedule a team meeting for July 13 at 2:45pm,Schedule a team meeting,2:45pm,July 13
I need to review my applications at 9:15am,I need to review,9:15am,
Send the invoice on June 2,Send the invoice on,,June 2
Send the invoice on June 20,Send the invoice on,,June 20
Check email updates around 3:30pm,Check email updates around,3:30pm,
I need to review my applications at 9:30am,I need to review,9:30am,
Finish the budget review before 12:30pm,Finish the budget review,12:30pm,
I need to review my applications at 12:00pm,I need to review,12:00pm,
Check email updates around 4:00pm,Check email updates around,4:00pm,
Finish the budget review before 9:45am,Finish the budget review,9:45am,
Schedule a team meeting for June 27 at 6:00am,Schedule a team meeting,6:00am,June 27
Send the invoice on July 9,Send the invoice on,,July 9
Submit the quarterly report by 1:15pm,Submit the quarterly report,1:15pm,
Submit the quarterly report by 4:00pm,Submit the quarterly report,4:00pm,
Prepare slides for the presentation on May 29,Prepare slides for the,,May 29
Send the invoice on June 25,Send the invoice on,,June 25
Prepare slides for the presentation on May 22,Prepare slides for the,,May 22
Check email updates around 5:15pm,Check email updates around,5:15pm,
I need to review my applications at 9:45pm,I need to review,9:45pm,
Finish the budget review before 9:15pm,Finish the budget review,9:15pm,
Call the client on July 6,Call the client on,,July 6
Send the invoice on May 25,Send the invoice on,,May 25
Meet with HR at 10:45am,Meet with hr at,10:45am,
Finish the budget review before 5:45pm,Finish the budget review,5:45pm,
Meet with HR at 6:15pm,Meet with hr at,6:15pm,
I need to review my applications at 5:15pm,I need to review,5:15pm,
Submit the quarterly report by 6:15pm,Submit the quarterly report,6:15pm,
Send the invoice on June 10,Send the invoice on,,June 10
Check email updates around 4:00pm,Check email updates around,4:00pm,
Meet with HR at 8:00am,Meet with hr at,8:00am,
Call the client on June 2,Call the client on,,June 2
Submit the quarterly report by 9:15pm,Submit the quarterly report,9:15pm,
I need to review my applications at 6:45pm,I need to review,6:45pm,
Set up a one-on-one on June 13 at 2:00pm,Set up a one-on-one,2:00pm,June 13
Schedule a team meeting for July 19 at 8:00am,Schedule a team meeting,8:00am,July 19
Schedule a team meeting for June 19 at 9:00pm,Schedule a team meeting,9:00pm,June 19
I need to review my applications at 5:45pm,I need to review,5:45pm,
Prepare slides for the presentation on June 23,Prepare slides for the,,June 23
I need to review my applications at 8:30am,I need to review,8:30am,
Schedule a team meeting for July 6 at 9:00am,Schedule a team meeting,9:00am,July 6
Schedule a team meeting for June 2 at 6:15pm,Schedule a team meeting,6:15pm,June 2
Meet with HR at 1:15pm,Meet with hr at,1:15pm,
Meet with HR at 7:00pm,Meet with hr at,7:00pm,
Set up a one-on-one on July 4 at 5:45pm,Set up a one-on-one,5:45pm,July 4
Check email updates around 9:15am,Check email updates around,9:15am,
Call the client on July 2,Call the client on,,July 2
Call the client on July 17,Call the client on,,July 17
Prepare slides for the presentation on June 16,Prepare slides for the,,June 16
Check email updates around 4:15pm,Check email updates around,4:15pm,
Meet with HR at 12:45pm,Meet with hr at,12:45pm,
Meet with HR at 2:30pm,Meet with hr at,2:30pm,
Send the invoice on July 6,Send the invoice on,,July 6
I need to review my applications at 3:00pm,I need to review,3:00pm,
Call the client on June 9,Call the client on,,June 9
Schedule a team meeting for May 22 at 12:30pm,Schedule a team meeting,12:30pm,May 22
Finish the budget review before 10:00am,Finish the budget review,10:00am,
Send the invoice on May 29,Send the invoice on,,May 29
Finish the budget review before 5:15pm,Finish the budget review,5:15pm,
Finish the budget review before 3:00pm,Finish the budget review,3:00pm,
Check email updates around 12:00pm,Check email updates around,12:00pm,
Prepare slides for the presentation on June 21,Prepare slides for the,,June 21
Set up a one-on-one on May 23 at 9:30am,Set up a one-on-one,9:30am,May 23
Set up a one-on-one on July 9 at 6:00pm,Set up a one-on-one,6:00pm,July 9
I need to review my applications at 4:30pm,I need to review,4:30pm,
Check email updates around 7:00pm,Check email updates around,7:00pm,
Schedule a team meeting for May 24 at 6:45am,Schedule a team meeting,6:45am,May 24
Finish the budget review before 7:30am,Finish the budget review,7:30am,
Set up a one-on-one on June 22 at 10:30am,Set up a one-on-one,10:30am,June 22
Schedule a team meeting for July 3 at 10:00am,Schedule a team meeting,10:00am,July 3
Check email updates around 8:00pm,Check email updates around,8:00pm,
Check email updates around 3:45pm,Check email updates around,3:45pm,
Call the client on June 20,Call the client on,,June 20
Set up a one-on-one on June 6 at 7:45am,Set up a one-on-one,7:45am,June 6
Submit the quarterly report by 6:45pm,Submit the quarterly report,6:45pm,
Call the client on June 25,Call the client on,,June 25
Schedule a team meeting for July 1 at 9:45pm,Schedule a team meeting,9:45pm,July 1
Set up a one-on-one on June 5 at 12:15pm,Set up a one-on-one,12:15pm,June 5
Submit the quarterly report by 2:45pm,Submit the quarterly report,2:45pm,
Set up a one-on-one on July 2 at 8:00am,Set up a one-on-one,8:00am,July 2
Check email updates around 7:30pm,Check email updates around,7:30pm,
Schedule a team meeting for June 28 at 4:30pm,Schedule a team meeting,4:30pm,June 28
I need to review my applications at 3:15pm,I need to review,3:15pm,
Set up a one-on-one on June 18 at 8:15pm,Set up a one-on-one,8:15pm,June 18
I need to review my applications at 1:15pm,I need to review,1:15pm,
Prepare slides for the presentation on May 28,Prepare slides for the,,May 28
I need to review my applications at 1:15pm,I need to review,1:15pm,
Finish the budget review before 6:30am,Finish the budget review,6:30am,
Submit the quarterly report by 3:45pm,Submit the quarterly report,3:45pm,
I need to review my applications at 4:15pm,I need to review,4:15pm,
Meet with HR at 12:15pm,Meet with hr at,12:15pm,
Meet with HR at 2:45pm,Meet with hr at,2:45pm,
Call the client on June 27,Call the client on,,June 27
Meet with HR at 7:30am,Meet with hr at,7:30am,
I need to review my applications at 3:15pm,I need to review,3:15pm,
Set up a one-on-one on June 19 at 2:00pm,Set up a one-on-one,2:00pm,June 19
I need to review my applications at 8:45am,I need to review,8:45am,
Finish the budget review before 5:00pm,Finish the budget review,5:00pm,
Finish the budget review before 6:15pm,Finish the budget review,6:15pm,
Meet with HR at 9:30am,Meet with hr at,9:30am,
Set up a one-on-one on June 2 at 8:15am,Set up a one-on-one,8:15am,June 2
Meet with HR at 8:00pm,Meet with hr at,8:00pm,
Schedule a team meeting for June 21 at 3:30pm,Schedule a team meeting,3:30pm,June 21
Check email updates around 11:00am,Check email updates around,11:00am,
Prepare slides for the presentation on June 5,Prepare slides for the,,June 5
Meet with HR at 2:00pm,Meet with hr at,2:00pm,
Finish the budget review before 6:00pm,Finish the budget review,6:00pm,
Meet with HR at 2:15pm,Meet with hr at,2:15pm,
Prepare slides for the presentation on May 26,Prepare slides for the,,May 26
Check email updates around 1:45pm,Check email updates around,1:45pm,
Set up a one-on-one on June 9 at 10:45am,Set up a one-on-one,10:45am,June 9
Set up a one-on-one on June 24 at 4:45pm,Set up a one-on-one,4:45pm,June 24
Call the client on June 27,Call the client on,,June 27
Meet with HR at 12:15pm,Meet with hr at,12:15pm,
Meet with HR at 10:45am,Meet with hr at,10:45am,
Call the client on May 25,Call the client on,,May 25
Meet with HR at 9:15am,Meet with hr at,9:15am,
Call the client on July 16,Call the client on,,July 16
Check email updates around 7:30pm,Check email updates around,7:30pm,
Finish the budget review before 10:15am,Finish the budget review,10:15am,
Call the client on July 8,Call the client on,,July 8
Set up a one-on-one on June 28 at 2:15pm,Set up a one-on-one,2:15pm,June 28
Schedule a team meeting for June 12 at 1:00pm,Schedule a team meeting,1:00pm,June 12
Submit the quarterly report by 9:15pm,Submit the quarterly report,9:15pm,
Set up a one-on-one on June 1 at 9:30pm,Set up a one-on-one,9:30pm,June 1
Check email updates around 9:45pm,Check email updates around,9:45pm,
Call the client on May 23,Call the client on,,May 23
Check email updates around 6:30am,Check email updates around,6:30am,
Check email updates around 1:15pm,Check email updates around,1:15pm,
Schedule a team meeting for July 19 at 8:15am,Schedule a team meeting,8:15am,July 19
Send the invoice on July 15,Send the invoice on,,July 15
Send the invoice on June 15,Send the invoice on,,June 15
I need to review my applications at 6:30pm,I need to review,6:30pm,
Set up a one-on-one on June 18 at 7:00am,Set up a one-on-one,7:00am,June 18
Send the invoice on June 23,Send the invoice on,,June 23
Meet with HR at 6:00pm,Meet with hr at,6:00pm,
Check email updates around 7:15am,Check email updates around,7:15am,
Send the invoice on July 9,Send the invoice on,,July 9
Finish the budget review before 8:15pm,Finish the budget review,8:15pm,
Finish the budget review before 7:15am,Finish the budget review,7:15am,
Send the invoice on June 1,Send the invoice on,,June 1
Set up a one-on-one on June 16 at 10:45am,Set up a one-on-one,10:45am,June 16
Prepare slides for the presentation on June 1,Prepare slides for the,,June 1
Send the invoice on May 26,Send the invoice on,,May 26
Finish the budget review before 4:15pm,Finish the budget review,4:15pm,
Submit the quarterly report by 8:00am,Submit the quarterly report,8:00am,
Send the invoice on June 23,Send the invoice on,,June 23
Check email updates around 11:45am,Check email updates around,11:45am,
Check email updates around 7:15am,Check email updates around,7:15am,
Prepare slides for the presentation on July 15,Prepare slides for the,,July 15
Call the client on June 16,Call the client on,,June 16
Finish the budget review before 3:45pm,Finish the budget review,3:45pm,
Call the client on June 2,Call the client on,,June 2
I need to review my applications at 2:00pm,I need to review,2:00pm,
Send the invoice on June 28,Send the invoice on,,June 28
Send the invoice on June 27,Send the invoice on,,June 27
Send the invoice on June 18,Send the invoice on,,June 18
Submit the quarterly report by 6:15am,Submit the quarterly report,6:15am,
Meet with HR at 2:15pm,Meet with hr at,2:15pm,
Call the client on July 1,Call the client on,,July 1
Prepare slides for the presentation on July 14,Prepare slides for the,,July 14
I need to review my applications at 3:30pm,I need to review,3:30pm,
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Call the client on June 29,Call the client on,,June 29
Set up a one-on-one on July 7 at 11:45am,Set up a one-on-one,11:45am,July 7
Set up a one-on-one on May 26 at 5:00pm,Set up a one-on-one,5:00pm,May 26
Finish the budget review before 4:30pm,Finish the budget review,4:30pm,
Check email updates around 8:45am,Check email updates around,8:45am,
Meet with HR at 8:30am,Meet with hr at,8:30am,
Call the client on June 11,Call the client on,,June 11
Meet with HR at 7:15pm,Meet with hr at,7:15pm,
Schedule a team meeting for June 26 at 7:00am,Schedule a team meeting,7:00am,June 26
Meet with HR at 8:45am,Meet with hr at,8:45am,
Set up a one-on-one on June 28 at 3:45pm,Set up a one-on-one,3:45pm,June 28
Prepare slides for the presentation on July 19,Prepare slides for the,,July 19
Call the client on June 21,Call the client on,,June 21
Call the client on June 2,Call the client on,,June 2
I need to review my applications at 9:00am,I need to review,9:00am,
Submit the quarterly report by 12:45pm,Submit the quarterly report,12:45pm,
I need to review my applications at 4:30pm,I need to review,4:30pm,
Schedule a team meeting for July 4 at 6:15am,Schedule a team meeting,6:15am,July 4
Finish the budget review before 2:00pm,Finish the budget review,2:00pm,
Finish the budget review before 4:00pm,Finish the budget review,4:00pm,
Prepare slides for the presentation on July 6,Prepare slides for the,,July 6
Set up a one-on-one on June 2 at 6:15am,Set up a one-on-one,6:15am,June 2
Prepare slides for the presentation on July 18,Prepare slides for the,,July 18
Send the invoice on June 20,Send the invoice on,,June 20
Call the client on June 19,Call the client on,,June 19
Check email updates around 7:30am,Check email updates around,7:30am,
Prepare slides for the presentation on June 26,Prepare slides for the,,June 26
Prepare slides for the presentation on May 30,Prepare slides for the,,May 30
Finish the budget review before 6:30am,Finish the budget review,6:30am,
Meet with HR at 11:45am,Meet with hr at,11:45am,
Set up a one-on-one on July 5 at 9:30am,Set up a one-on-one,9:30am,July 5
Prepare slides for the presentation on June 16,Prepare slides for the,,June 16
Submit the quarterly report by 9:15pm,Submit the quarterly report,9:15pm,
Send the invoice on June 23,Send the invoice on,,June 23
Finish the budget review before 11:00am,Finish the budget review,11:00am,
I need to review my applications at 12:00pm,I need to review,12:00pm,
Meet with HR at 6:45am,Meet with hr at,6:45am,
Meet with HR at 10:15am,Meet with hr at,10:15am,
Send the invoice on May 30,Send the invoice on,,May 30
Submit the quarterly report by 10:15am,Submit the quarterly report,10:15am,
I need to review my applications at 8:45pm,I need to review,8:45pm,
Meet with HR at 9:00am,Meet with hr at,9:00am,
I need to review my applications at 8:30am,I need to review,8:30am,
I need to review my applications at 9:30am,I need to review,9:30am,
Set up a one-on-one on June 10 at 3:15pm,Set up a one-on-one,3:15pm,June 10
Schedule a team meeting for June 7 at 12:30pm,Schedule a team meeting,12:30pm,June 7
Meet with HR at 4:45pm,Meet with hr at,4:45pm,
Submit the quarterly report by 2:15pm,Submit the quarterly report,2:15pm,
Finish the budget review before 9:00am,Finish the budget review,9:00am,
Meet with HR at 9:15am,Meet with hr at,9:15am,
Prepare slides for the presentation on May 30,Prepare slides for the,,May 30
Finish the budget review before 1:15pm,Finish the budget review,1:15pm,
Finish the budget review before 4:45pm,Finish the budget review,4:45pm,
Call the client on July 17,Call the client on,,July 17
I need to review my applications at 9:45am,I need to review,9:45am,
Submit the quarterly report by 7:45pm,Submit the quarterly report,7:45pm,
Set up a one-on-one on June 9 at 8:30pm,Set up a one-on-one,8:30pm,June 9
Prepare slides for the presentation on July 19,Prepare slides for the,,July 19
Send the invoice on July 12,Send the invoice on,,July 12
Send the invoice on June 9,Send the invoice on,,June 9
Send the invoice on July 20,Send the invoice on,,July 20
Schedule a team meeting for July 18 at 10:30am,Schedule a team meeting,10:30am,July 18
Prepare slides for the presentation on July 4,Prepare slides for the,,July 4
Prepare slides for the presentation on June 21,Prepare slides for the,,June 21
I need to review my applications at 8:45am,I need to review,8:45am,
Prepare slides for the presentation on July 14,Prepare slides for the,,July 14
Call the client on June 28,Call the client on,,June 28
Set up a one-on-one on June 15 at 10:00am,Set up a one-on-one,10:00am,June 15
Submit the quarterly report by 4:00pm,Submit the quarterly report,4:00pm,
Finish the budget review before 8:45pm,Finish the budget review,8:45pm,
Check email updates around 1:15pm,Check email updates around,1:15pm,
Call the client on May 25,Call the client on,,May 25
Prepare slides for the presentation on July 10,Prepare slides for the,,July 10
Check email updates around 4:15pm,Check email updates around,4:15pm,
Submit the quarterly report by 9:00pm,Submit the quarterly report,9:00pm,
Set up a one-on-one on June 25 at 8:30pm,Set up a one-on-one,8:30pm,June 25
Submit the quarterly report by 8:15pm,Submit the quarterly report,8:15pm,
Check email updates around 8:00am,Check email updates around,8:00am,
Set up a one-on-one on June 21 at 6:30pm,Set up a one-on-one,6:30pm,June 21
I need to review my applications at 8:15am,I need to review,8:15am,
Call the client on July 2,Call the client on,,July 2
Call the client on June 14,Call the client on,,June 14
Set up a one-on-one on June 3 at 8:15pm,Set up a one-on-one,8:15pm,June 3
Prepare slides for the presentation on July 18,Prepare slides for the,,July 18
Check email updates around 5:00pm,Check email updates around,5:00pm,
I need to review my applications at 6:15pm,I need to review,6:15pm,
Finish the budget review before 7:30am,Finish the budget review,7:30am,
Meet with HR at 7:00am,Meet with hr at,7:00am,
Meet with HR at 5:00pm,Meet with hr at,5:00pm,
Finish the budget review before 6:15am,Finish the budget review,6:15am,
Set up a one-on-one on July 5 at 6:30pm,Set up a one-on-one,6:30pm,July 5
Check email updates around 6:45pm,Check email updates around,6:45pm,
Meet with HR at 12:15pm,Meet with hr at,12:15pm,
Call the client on July 13,Call the client on,,July 13
Prepare slides for the presentation on June 8,Prepare slides for the,,June 8
Call the client on May 25,Call the client on,,May 25
I need to review my applications at 10:45am,I need to review,10:45am,
Check email updates around 10:00am,Check email updates around,10:00am,
Check email updates around 8:45pm,Check email updates around,8:45pm,
Call the client on June 25,Call the client on,,June 25
Send the invoice on June 4,Send the invoice on,,June 4
Call the client on June 26,Call the client on,,June 26
Send the invoice on June 16,Send the invoice on,,June 16
Meet with HR at 5:00pm,Meet with hr at,5:00pm,
Set up a one-on-one on May 28 at 9:30pm,Set up a one-on-one,9:30pm,May 28
Set up a one-on-one on May 30 at 9:00pm,Set up a one-on-one,9:00pm,May 30
Meet with HR at 2:45pm,Meet with hr at,2:45pm,
Submit the quarterly report by 8:15am,Submit the quarterly report,8:15am,
Submit the quarterly report by 3:00pm,Submit the quarterly report,3:00pm,
Prepare slides for the presentation on June 19,Prepare slides for the,,June 19
Meet with HR at 9:30pm,Meet with hr at,9:30pm,
Prepare slides for the presentation on May 31,Prepare slides for the,,May 31
I need to review my applications at 3:30pm,I need to review,3:30pm,
Send the invoice on July 2,Send the invoice on,,July 2
Finish the budget review before 6:30am,Finish the budget review,6:30am,
Submit the quarterly report by 10:00am,Submit the quarterly report,10:00am,
Finish the budget review before 2:15pm,Finish the budget review,2:15pm,
Finish the budget review before 2:30pm,Finish the budget review,2:30pm,
Submit the quarterly report by 11:15am,Submit the quarterly report,11:15am,
Send the invoice on June 6,Send the invoice on,,June 6
Schedule a team meeting for July 11 at 9:15pm,Schedule a team meeting,9:15pm,July 11
Meet with HR at 7:30am,Meet with hr at,7:30am,
Call the client on July 8,Call the client on,,July 8
Check email updates around 6:15pm,Check email updates around,6:15pm,
Send the invoice on June 26,Send the invoice on,,June 26
Prepare slides for the presentation on July 8,Prepare slides for the,,July 8
Submit the quarterly report by 7:15am,Submit the quarterly report,7:15am,
Check email updates around 9:30pm,Check email updates around,9:30pm,
Meet with HR at 1:45pm,Meet with hr at,1:45pm,
Check email updates around 9:30pm,Check email updates around,9:30pm,
Meet with HR at 7:00pm,Meet with hr at,7:00pm,
Send the invoice on June 23,Send the invoice on,,June 23
I need to review my applications at 9:30am,I need to review,9:30am,
Check email updates around 2:30pm,Check email updates around,2:30pm,
Finish the budget review before 9:30am,Finish the budget review,9:30am,
Set up a one-on-one on July 9 at 6:45pm,Set up a one-on-one,6:45pm,July 9
Schedule a team meeting for July 3 at 12:30pm,Schedule a team meeting,12:30pm,July 3
Call the client on July 3,Call the client on,,July 3
I need to review my applications at 8:00am,I need to review,8:00am,
Submit the quarterly report by 9:45am,Submit the quarterly report,9:45am,
Schedule a team meeting for June 2 at 3:30pm,Schedule a team meeting,3:30pm,June 2
I need to review my applications at 6:00am,I need to review,6:00am,
Set up a one-on-one on July 5 at 12:00pm,Set up a one-on-one,12:00pm,July 5
Submit the quarterly report by 8:15am,Submit the quarterly report,8:15am,
Set up a one-on-one on July 4 at 11:00am,Set up a one-on-one,11:00am,July 4
Call the client on June 19,Call the client on,,June 19
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
Check email updates around 4:30pm,Check email updates around,4:30pm,
Submit the quarterly report by 2:00pm,Submit the quarterly report,2:00pm,
Check email updates around 4:00pm,Check email updates around,4:00pm,
Finish the budget review before 11:45am,Finish the budget review,11:45am,
Send the invoice on June 1,Send the invoice on,,June 1
Send the invoice on June 24,Send the invoice on,,June 24
Check email updates around 12:00pm,Check email updates around,12:00pm,
Send the invoice on May 23,Send the invoice on,,May 23
Submit the quarterly report by 8:30am,Submit the quarterly report,8:30am,
Send the invoice on May 30,Send the invoice on,,May 30
I need to review my applications at 7:45am,I need to review,7:45am,
Call the client on June 26,Call the client on,,June 26
I need to review my applications at 9:45pm,I need to review,9:45pm,
Check email updates around 8:15am,Check email updates around,8:15am,
Check email updates around 9:00pm,Check email updates around,9:00pm,
Meet with HR at 5:30pm,Meet with hr at,5:30pm,
Finish the budget review before 6:00pm,Finish the budget review,6:00pm,
Submit the quarterly report by 5:30pm,Submit the quarterly report,5:30pm,
Send the invoice on June 1,Send the invoice on,,June 1
Meet with HR at 7:45am,Meet with hr at,7:45am,
Schedule a team meeting for July 17 at 3:45pm,Schedule a team meeting,3:45pm,July 17
Submit the quarterly report by 5:45pm,Submit the quarterly report,5:45pm,
Send the invoice on May 23,Send the invoice on,,May 23
Schedule a team meeting for June 21 at 6:15am,Schedule a team meeting,6:15am,June 21
Check email updates around 8:30am,Check email updates around,8:30am,
Meet with HR at 8:00pm,Meet with hr at,8:00pm,
Prepare slides for the presentation on July 10,Prepare slides for the,,July 10
I need to review my applications at 6:00pm,I need to review,6:00pm,
Meet with HR at 8:15pm,Meet with hr at,8:15pm,
Set up a one-on-one on May 23 at 1:00pm,Set up a one-on-one,1:00pm,May 23
Call the client on June 20,Call the client on,,June 20
Set up a one-on-one on July 4 at 7:15am,Set up a one-on-one,7:15am,July 4
Call the client on June 30,Call the client on,,June 30
I need to review my applications at 3:00pm,I need to review,3:00pm,
Set up a one-on-one on July 12 at 11:00am,Set up a one-on-one,11:00am,July 12
Submit the quarterly report by 9:45am,Submit the quarterly report,9:45am,
Set up a one-on-one on July 11 at 1:00pm,Set up a one-on-one,1:00pm,July 11
Schedule a team meeting for July 11 at 7:30pm,Schedule a team meeting,7:30pm,July 11
Check email updates around 4:00pm,Check email updates around,4:00pm,
Set up a one-on-one on July 13 at 10:30am,Set up a one-on-one,10:30am,July 13
Schedule a team meeting for June 11 at 7:15am,Schedule a team meeting,7:15am,June 11
Submit the quarterly report by 9:30am,Submit the quarterly report,9:30am,
Check email updates around 11:30am,Check email updates around,11:30am,
Call the client on July 19,Call the client on,,July 19
Set up a one-on-one on May 27 at 7:15am,Set up a one-on-one,7:15am,May 27
Set up a one-on-one on May 22 at 6:15pm,Set up a one-on-one,6:15pm,May 22
Send the invoice on May 21,Send the invoice on,,May 21
Call the client on June 16,Call the client on,,June 16
Send the invoice on May 30,Send the invoice on,,May 30
Finish the budget review before 8:45pm,Finish the budget review,8:45pm,
Call the client on July 5,Call the client on,,July 5
Send the invoice on June 12,Send the invoice on,,June 12
Check email updates around 6:15am,Check email updates around,6:15am,
Submit the quarterly report by 9:30am,Submit the quarterly report,9:30am,
Meet with HR at 1:45pm,Meet with hr at,1:45pm,
